id,laboratory_id,active_principle_id,"created_at","updated_at","nombre",cod_minsa,"concentracion","forma_farmaceutica","forma_farmaceutica_simp","presentacion"
108,3,NULL,NULL,NULL,"AB AMBROMOX",6,"1 200 mg","Polvo para Solución Inyectable","INYECTABLE","Vial + Accesorios"
109,3,NULL,NULL,NULL,"AB BRONPAMOX",7,"300 mg","Polvo para Solución Inyectable","INYECTABLE","Vial"
110,3,NULL,NULL,NULL,"AB BRONPAMOX",8,"600 mg","Polvo para Solución Inyectable","INYECTABLE","Caja Vial"
111,3,NULL,NULL,NULL,"AB BRONPAMOX",9,"1.2 g","Polvo para Suspensión Inyectable","INYECTABLE","Caja Vial"
112,3,NULL,NULL,NULL,"ACETAZOLAMIDA",80,"250 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
113,3,NULL,NULL,NULL,"ACICLOVIR",108,"800 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
114,3,NULL,NULL,NULL,"ACIDO FOLICO",138,"0.5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
115,3,NULL,NULL,NULL,"ADAX",190,"400 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
116,3,NULL,NULL,NULL,"ADAX",191,"600 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
117,3,NULL,NULL,NULL,"ADAX FLU",192,"200 mg + 30 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
118,3,NULL,NULL,NULL,"ADAX FLU",193,"100 mg + 15 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco X 60 mL"
119,3,NULL,NULL,NULL,"ADAX FLU FORTE",194,"400 mg + 60 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
120,3,NULL,NULL,NULL,"ADAX FLU FORTE",195,"200 mg + 30 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco X 60 mL"
121,3,NULL,NULL,NULL,"ADONA (AC 17)",214,"30 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
122,3,NULL,NULL,NULL,"ALBENDAZOL",353,"100 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco X 20 mL"
123,3,NULL,NULL,NULL,"ALBENDAZOL",354,"200 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
124,3,NULL,NULL,NULL,"ALERMIZOL NUEVA FORMULA",419,"10 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
125,3,NULL,NULL,NULL,"ALERMIZOL NUEVA FORMULA",420,"5 mg/5 mL","Jarabe","SOLUCION","Frasco X 100 mL"
126,3,NULL,NULL,NULL,"ALERSONA",422,"1%","Crema","CREMA","Tubo X 20 g"
127,3,NULL,NULL,NULL,"ALOPURINOL",495,"100 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
128,3,NULL,NULL,NULL,"ALOPURINOL",496,"300 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
129,3,NULL,NULL,NULL,"ALPAZ",499,"0.5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
130,3,NULL,NULL,NULL,"ALPAZ",500,"0.25 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
131,3,NULL,NULL,NULL,"ALPAZ",501,"1 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
132,3,NULL,NULL,NULL,"ALPAZ LP",502,"0.5 mg","Tableta de Liberación Prolongada","TABLETA","Caja Envase Blister Tabletas"
133,3,NULL,NULL,NULL,"ALPAZ LP",503,"1 mg","Tableta de Liberación Prolongada","TABLETA","Caja Envase Blister Tabletas"
134,3,NULL,NULL,NULL,"ALPRAZOLAM",511,"0.5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
135,3,NULL,NULL,NULL,"AMBROMOX",535,"","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
136,3,NULL,NULL,NULL,"AMBROXOL",539,"15 mg/5 mL","Jarabe","SOLUCION","Frasco x 120 mL"
137,3,NULL,NULL,NULL,"AMITRIPTILINA",606,"25 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
138,3,NULL,NULL,NULL,"AMLODIPINO",624,"10 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
139,3,NULL,NULL,NULL,"AMOXICILINA",666,"500 mg","Comprimido Recubierto","TABLETA","Caja Envase Blister Tabletas"
140,3,NULL,NULL,NULL,"AMPI BIS PLUS",722,"1 g + 500 mg/mL","Polvo para Solución Inyectable","INYECTABLE","Vial"
141,3,NULL,NULL,NULL,"ANULACID",817,"40 mg","Cápsula de Liberación Retardada","CAPSULA","Caja Envase Blister Cápsulas"
142,3,NULL,NULL,NULL,"AQUASOL A",867,"","Crema","CREMA","Caja Tubo x 29 g"
143,3,NULL,NULL,NULL,"ARTIX",954,"400 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
145,3,NULL,NULL,NULL,"AVAN",1132,"80 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
146,3,NULL,NULL,NULL,"AVAN",1133,"160 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
147,3,NULL,NULL,NULL,"AVAN HCT",1135,"80 mg + 12.5 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
148,3,NULL,NULL,NULL,"AVAN HCT",1136,"160 mg + 12.5 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
149,3,NULL,NULL,NULL,"AZITROMICINA",1241,"500 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
150,3,NULL,NULL,NULL,"AZITROMICINA",1242,"200 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 15 mL"
151,3,NULL,NULL,NULL,"AZYMOL",1266,"15 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
152,3,NULL,NULL,NULL,"BETACAR",1454,"12.5 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
153,3,NULL,NULL,NULL,"BEXX",1495,"7.5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
156,3,NULL,NULL,NULL,"BEXX",1498,"15 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
159,3,NULL,NULL,NULL,"BLOTRIL",1666,"5 mg + 10 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
160,3,NULL,NULL,NULL,"BLOTRIL",1667,"5 mg + 20 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
161,3,NULL,NULL,NULL,"BLOTRIL",1668,"10 mg + 20 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
162,3,NULL,NULL,NULL,"BROLUKAT",1715,"4 mg","Comprimido Masticable","TABLETA","Caja Envase Blíster Comprimidos"
164,3,NULL,NULL,NULL,"BROLUKAT",1717,"5 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
166,3,NULL,NULL,NULL,"BROLUKAT",1719,"10 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
168,3,NULL,NULL,NULL,"BROMOCRIPTINA",1731,"2.5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
169,3,NULL,NULL,NULL,"BRONCO DERINOX",1750,"250 mg + 4 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 60 mL"
170,3,NULL,NULL,NULL,"BRONCOLATUM",1786,"500 mg + 30 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
171,3,NULL,NULL,NULL,"BRONCOLATUM",1787,"250 mg + 15 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 75 mL"
172,3,NULL,NULL,NULL,"BRONPAMOX",1812,"","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
173,3,NULL,NULL,NULL,"BRONPAMOX",1813,"250 mg + 15 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 60 mL"
174,3,NULL,NULL,NULL,"CADITAR",1899,"200 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
176,3,NULL,NULL,NULL,"CAPTOPRIL",2048,"25 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
177,3,NULL,NULL,NULL,"MULTI BIOTICOS SABOR A MENTOL/EUCALIPTOL",2053,"0.25 mg + 10 mg","Pastilla Dura para Chupar","CAPSULA","Caja Sobre Tabletas"
178,3,NULL,NULL,NULL,"CEBROCAL",2145,"500 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
179,3,NULL,NULL,NULL,"CEBROCAL",2146,"100 mg/mL","Solución Oral","SOLUCION","Frasco Gotero X 30 mL"
180,3,NULL,NULL,NULL,"CECET",2150,"200 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco X 60 mL"
181,3,NULL,NULL,NULL,"CECET",2151,"200 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
182,3,NULL,NULL,NULL,"CEFABAC",2163,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 75 mL"
183,3,NULL,NULL,NULL,"CEFABAC",2164,"375 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 70 mL"
184,3,NULL,NULL,NULL,"CEFABAC",2165,"500 mg","Tableta de Liberación Prolongada","TABLETA","Caja Envase Blister Tabletas"
185,3,NULL,NULL,NULL,"CEFACLOR",2172,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 75 mL"
186,3,NULL,NULL,NULL,"CEFACLOR",2173,"500 mg","Tableta de Liberación Prolongada","TABLETA","Caja Envase Blister Tabletas"
187,3,NULL,NULL,NULL,"CEFADROXILO",2188,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 100 mL"
188,3,NULL,NULL,NULL,"CEFALEXINA",2197,"500 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
189,3,NULL,NULL,NULL,"CEFALEXINA",2198,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 60 mL"
190,3,NULL,NULL,NULL,"CEFRADINA",2255,"500 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
191,3,NULL,NULL,NULL,"CEFRALIN",2266,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 60 mL"
192,3,NULL,NULL,NULL,"CEFRALIN",2267,"300 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
193,3,NULL,NULL,NULL,"CINARIZINA",2328,"75 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
194,3,NULL,NULL,NULL,"CICLIDON 20",2477,"","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
195,3,NULL,NULL,NULL,"CICLOMEX 20",2480,"","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
196,3,NULL,NULL,NULL,"CINAFLOX",2498,"500 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
197,3,NULL,NULL,NULL,"CINAFLOX F",2499,"","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
198,3,NULL,NULL,NULL,"CIPROFLOXACINO",2536,"500 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
199,3,NULL,NULL,NULL,"CLARITROMICINA",2653,"250 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 50 mL"
200,3,NULL,NULL,NULL,"CLAVUMOX 12 HORAS",2691,"400 mg + 57 mg","Polvo para Suspensión Oral","SUSPENSION","Frasco X 70 mL"
201,3,NULL,NULL,NULL,"CLAVUMOX 12 HORAS",2692,"875 mg + 125 mg","Comprimido Recubierto","TABLETA","Frasco Tabletas"
203,3,NULL,NULL,NULL,"CLINDAMICINA",2732,"600 mg/4 mL","Solución Inyectable","INYECTABLE","Caja Ampolla x 4 mL"
204,3,NULL,NULL,NULL,"CLOBETASOL",2771,"0.05%","Crema","CREMA","Tubo X 25 g"
205,3,NULL,NULL,NULL,"CLOBETASOL",2772,"0.05%","Ungüento","UNGUENTO","Tubo X 25 g"
206,3,NULL,NULL,NULL,"CLONAZEPAM",2780,"0.5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
207,3,NULL,NULL,NULL,"CODIFARMA NF",2912,"","Jarabe","SOLUCION","Frasco X 90 mL"
208,3,NULL,NULL,NULL,"CORDIAX D FORTE",3106,"80 mg + 12.5 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
209,3,NULL,NULL,NULL,"CORODIN",3123,"50 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
210,3,NULL,NULL,NULL,"CRESADEX",3202,"10 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
211,3,NULL,NULL,NULL,"DEFLAZACORT",3304,"6 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
212,3,NULL,NULL,NULL,"DEFLAZACORT",3305,"30 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
213,3,NULL,NULL,NULL,"DENCORUB ARTRIT",3317,"","Crema","CREMA","Tubo X 33.5 g"
214,3,NULL,NULL,NULL,"DENCORUB EXTRA FORTE",3318,"","Ungüento","UNGUENTO","Pote X 100 g"
215,3,NULL,NULL,NULL,"DENCORUB FORTE",3319,"","Ungüento","UNGUENTO","Tubo X 33.5 g"
216,3,NULL,NULL,NULL,"DENCORUB",3320,"","Gel","JALEA","Tubo X 25 g"
217,3,NULL,NULL,NULL,"DENORAL",3322,"1 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
218,3,NULL,NULL,NULL,"DENORAL",3323,"2 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
219,3,NULL,NULL,NULL,"DERINOX",3370,"500 mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 60 mL"
220,3,NULL,NULL,NULL,"DERINOX",3371,"500 mg","Comprimido Recubierto","TABLETA","Caja Envase Blister Tabletas"
222,3,NULL,NULL,NULL,"DERINOX",3373,"875 mg","Comprimido Recubierto","TABLETA","Caja Envase Blister Tabletas"
223,3,NULL,NULL,NULL,"DESINFLAM",3434,"550 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
224,3,NULL,NULL,NULL,"DESTOLIT",3450,"5%","Crema","CREMA","Tubo X 60 g"
226,3,NULL,NULL,NULL,"DEXAFAR",3476,"1 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
227,3,NULL,NULL,NULL,"DEXAFAR",3477,"4 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
228,3,NULL,NULL,NULL,"DEXAFAR",3480,"0.5 mg/5 mL","Elixir","SOLUCION","Frasco X 100 mL"
229,3,NULL,NULL,NULL,"DEXAFAR",3481,"2 mg/5 mL","Elixir","SOLUCION","Frasco X 100 mL"
230,3,NULL,NULL,NULL,"DEXAMETASONA",3496,"0.5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
231,3,NULL,NULL,NULL,"DEXAMETASONA",3497,"1 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
232,3,NULL,NULL,NULL,"DEXAMETASONA",3498,"4 mg/mL","Solución Inyectable","INYECTABLE","Ampolla X 1 mL"
233,3,NULL,NULL,NULL,"DIAZEPAM",3593,"5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
234,3,NULL,NULL,NULL,"DIAZEPAM",3594,"10 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
235,3,NULL,NULL,NULL,"DIBROLAX",3603,"5 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
236,3,NULL,NULL,NULL,"DICLOFENACO",3624,"75 mg/3 mL","Solución Inyectable","INYECTABLE","Vial X 3 mL"
237,3,NULL,NULL,NULL,"DIENTRIN",3676,"400 mg + 80 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
238,3,NULL,NULL,NULL,"DILTIAZEM",3710,"60 mg","Tableta","TABLETA","Caja Envase Blister Tabletas"
239,3,NULL,NULL,NULL,"DOLNIX",3831,"10 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimidos"
240,3,NULL,NULL,NULL,"DOLNIX FORTE",3833,"25 mg + 10 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
241,3,NULL,NULL,NULL,"DOLNIX SL",3834,"10 mg","Comprimido Sublingual","TABLETA","Caja Envase Blíster Comprimidos"
242,3,NULL,NULL,NULL,"DOLNIX SL",3835,"30 mg","Comprimido","TABLETA","Caja Envase Blíster Comprimidos"
243,3,NULL,NULL,NULL,"DOLO NEUROVIT",3863,"","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
245,3,NULL,NULL,NULL,"DOLO TENSODOX",3867,"5 mg + 15 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas"
247,3,NULL,NULL,NULL,"DOLO QUIMAGESICO C 50",3875,"","Cápsula","CAPSULA","Caja Envase Blister Cápsulas"
